experiment,lead_time,model_name,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
env_with_chla,T+1,XGBoost,0.43,0.9278538812785389,0.9315068493150684,0.7611940298507462,0.837782340862423,0.9877005540616146,0.9632348963721576,0.8715280911043333,812,15,64,204
env_with_chla,T+1,XGBoost,0.44,0.9269406392694064,0.9311926605504587,0.7574626865671642,0.8353909465020576,0.9877005540616146,0.9632348963721576,0.8696624194625422,812,15,65,203
env_with_chla,T+1,XGBoost,0.45,0.9260273972602739,0.9308755760368663,0.753731343283582,0.8329896907216495,0.9877005540616146,0.9632348963721576,0.8677967478207511,812,15,66,202
env_with_chla,T+1,XGBoost,0.46,0.9260273972602739,0.9348837209302325,0.75,0.8322981366459627,0.9877005540616146,0.9632348963721576,0.8665356711003628,813,14,67,201
env_with_chla,T+1,XGBoost,0.47,0.9260273972602739,0.9348837209302325,0.75,0.8322981366459627,0.9877005540616146,0.9632348963721576,0.8665356711003628,813,14,67,201
env_with_chla,T+1,XGBoost,0.48,0.9260273972602739,0.9389671361502347,0.746268656716418,0.8316008316008316,0.9877005540616146,0.9632348963721576,0.8652745943799744,814,13,68,200
env_with_chla,T+1,XGBoost,0.49,0.9251141552511416,0.9386792452830188,0.7425373134328358,0.8291666666666667,0.9877005540616146,0.9632348963721576,0.8634089227381834,814,13,69,199
env_with_chla,T+1,XGBoost,0.5,0.9269406392694064,0.9476190476190476,0.7425373134328358,0.8326359832635983,0.9877005540616146,0.9632348963721576,0.8646181125809886,816,11,69,199
env_with_chla,T+1,XGBoost,0.51,0.9260273972602739,0.9473684210526315,0.7388059701492538,0.8301886792452831,0.9877005540616146,0.9632348963721576,0.8627524409391976,816,11,70,198
env_with_chla,T+1,XGBoost,0.52,0.9251141552511416,0.9471153846153846,0.7350746268656716,0.8277310924369747,0.9877005540616146,0.9632348963721576,0.8608867692974065,816,11,71,197
env_with_chla,T+1,XGBoost,0.53,0.9251141552511416,0.9514563106796117,0.7313432835820896,0.8270042194092827,0.9877005540616146,0.9632348963721576,0.8596256925770182,817,10,72,196
env_with_chla,T+1,XGBoost,0.54,0.9251141552511416,0.9514563106796117,0.7313432835820896,0.8270042194092827,0.9877005540616146,0.9632348963721576,0.8596256925770182,817,10,72,196
env_with_chla,T+1,XGBoost,0.55,0.9251141552511416,0.9514563106796117,0.7313432835820896,0.8270042194092827,0.9877005540616146,0.9632348963721576,0.8596256925770182,817,10,72,196
env_with_chla,T+1,XGBoost,0.56,0.9251141552511416,0.9514563106796117,0.7313432835820896,0.8270042194092827,0.9877005540616146,0.9632348963721576,0.8596256925770182,817,10,72,196
env_with_chla,T+1,XGBoost,0.57,0.9232876712328767,0.9554455445544554,0.7201492537313433,0.8212765957446808,0.9877005540616146,0.9632348963721576,0.8546332725730477,818,9,75,193
env_with_chla,T+1,XGBoost,0.58,0.9232876712328767,0.96,0.7164179104477612,0.8205128205128205,0.9877005540616146,0.9632348963721576,0.8533721958526592,819,8,76,192
env_with_chla,T+1,XGBoost,0.59,0.9242009132420091,0.964824120603015,0.7164179104477612,0.8222698072805139,0.9877005540616146,0.9632348963721576,0.853976790774062,820,7,76,192
env_with_chla,T+1,XGBoost,0.6,0.9242009132420091,0.964824120603015,0.7164179104477612,0.8222698072805139,0.9877005540616146,0.9632348963721576,0.853976790774062,820,7,76,192
env_with_chla,T+1,XGBoost,0.61,0.9223744292237442,0.9644670050761421,0.7089552238805971,0.8172043010752689,0.9877005540616146,0.9632348963721576,0.8502454474904799,820,7,78,190
env_with_chla,T+1,XGBoost,0.62,0.9214611872146119,0.9642857142857143,0.7052238805970149,0.8146551724137931,0.9877005540616146,0.9632348963721576,0.8483797758486888,820,7,79,189
env_with_chla,T+1,XGBoost,0.63,0.9223744292237442,0.9692307692307692,0.7052238805970149,0.816414686825054,0.9877005540616146,0.9632348963721576,0.8489843707700915,821,6,79,189
env_with_chla,T+1,XGBoost,0.64,0.9187214611872146,0.9685863874345549,0.6902985074626866,0.8061002178649237,0.9877005540616146,0.9632348963721576,0.8415216842029274,821,6,83,185
env_with_chla,T+1,XGBoost,0.65,0.9178082191780822,0.968421052631579,0.6865671641791045,0.8034934497816594,0.9877005540616146,0.9632348963721576,0.8396560125611363,821,6,84,184
