lead_time,best_model,rank,feature,mean_abs_shap,direction_summary,operational_meaning
T+10,LightGBM,5,doy_cos,0.6740149258109851,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,6,dayofyear,0.516480489454937,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,7,탁도,0.44665035861907765,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,8,log_cyano_roll7,0.44524224483141744,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,9,log_cyano_lag1,0.423467836146556,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,10,water_temp_lag7,0.22759125912824643,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,11,log_cyano_roll7_max,0.2141579327844161,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,12,hoenam_log_cyano_lag10,0.1867935087393106,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,13,water_temp_lag3,0.17653151215251,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,14,log_cyano_lag7,0.16870616673273542,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,15,취수량2,0.16840509921869048,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,16,log_cyano_roll14,0.13803787491116276,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,17,hoenam_log_cyano_lag7,0.13791074058084887,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,18,월,0.1365214354994477,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,19,DO(㎎/L),0.13360765619022058,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,20,log_cyano_lag10,0.12444196960008538,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,21,수위(EL.m),0.12167052949762722,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,22,pH,0.11844260158203164,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,23,연도,0.11757291408341566,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,24,log_cyano_lag30,0.1152231237672261,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,25,water_temp_mean_3d,0.11226247051563695,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,26,최저기온(°C),0.10801837725072767,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,27,log_cyano_roll30,0.10052805006371975,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,28,전년저수위,0.09516127585909281,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,29,채수위치_추동,0.09484837452948669,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,30,chla_roll14,0.09434107007393022,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
